"survived","pclass","sex","age","sibsp","parch","cabin","embarked","fare"
1,3,"female",38,1,5,"Unknown","S",31.3875
1,3,"female",29.7,0,0,"Unknown","Q",7.8792
1,3,"female",29.7,0,0,"Unknown","Q",7.75
0,3,"female",18,2,0,"Unknown","S",18
1,3,"female",14,1,0,"Unknown","C",11.2417
0,3,"female",40,1,0,"Unknown","S",9.475
0,2,"female",27,1,0,"Unknown","S",21
1,2,"female",3,1,2,"Unknown","C",41.5792
1,3,"female",19,0,0,"Unknown","Q",7.8792
1,3,"female",29.7,0,0,"Unknown","Q",7.75
0,3,"female",18,1,0,"Unknown","S",17.8
1,2,"female",29,1,0,"Unknown","S",26
1,2,"female",21,0,0,"Unknown","S",10.5
1,2,"female",5,1,2,"Unknown","S",27.75
1,3,"female",17,4,2,"Unknown","S",7.925
0,3,"female",16,5,2,"Unknown","S",46.9
1,3,"female",30,0,0,"Unknown","S",12.475
1,3,"female",29.7,0,0,"Unknown","Q",7.7875
1,2,"female",17,0,0,"Unknown","S",10.5
1,3,"female",33,3,0,"Unknown","S",15.85
1,2,"female",34,0,1,"Unknown","S",23
0,3,"female",28,0,0,"Unknown","S",7.8958
1,3,"female",21,0,0,"Unknown","S",7.65
1,3,"female",29.7,1,0,"Unknown","Q",24.15
0,3,"female",14.5,1,0,"Unknown","C",14.4542
0,3,"female",20,1,0,"Unknown","S",9.825
0,3,"female",17,0,0,"Unknown","C",14.4583
0,3,"female",2,4,2,"Unknown","S",31.275
0,3,"female",47,1,0,"Unknown","S",14.5
1,2,"female",29,1,0,"Unknown","S",26
0,3,"female",29.7,0,2,"Unknown","C",15.2458
1,3,"female",22,0,0,"Unknown","S",7.75
1,3,"female",24,1,0,"Unknown","S",15.85
0,3,"female",9,2,2,"Unknown","S",34.375
1,3,"female",16,0,0,"Unknown","Q",7.7333
1,2,"female",40,0,0,"Unknown","S",15.75
0,3,"female",45,1,4,"Unknown","S",27.9
1,3,"female",1,1,1,"Unknown","S",11.1333
0,3,"female",29.7,8,2,"Unknown","S",69.55
1,3,"female",4,0,2,"Unknown","S",22.025
1,3,"female",29.7,1,0,"Unknown","Q",15.5
1,2,"female",32,0,0,"Unknown","S",13
1,3,"female",19,1,0,"Unknown","S",7.8542
1,3,"female",29.7,0,0,"Unknown","Q",7.75
0,2,"female",24,0,0,"Unknown","S",13
1,3,"female",16,0,0,"Unknown","Q",7.75
1,2,"female",35,0,0,"Unknown","S",21
1,3,"female",27,0,0,"Unknown","S",7.925
0,3,"female",29.7,3,1,"Unknown","S",25.4667
1,3,"female",5,4,2,"Unknown","S",31.3875
0,3,"female",29.7,0,0,"Unknown","S",7.55
1,2,"female",8,0,2,"Unknown","S",26.25
0,3,"female",29.7,1,0,"Unknown","C",14.4542
1,3,"female",29.7,1,0,"Unknown","Q",15.5
0,3,"female",25,0,0,"Unknown","S",7.775
1,2,"female",24,0,2,"Unknown","S",14.5
0,3,"female",41,0,2,"Unknown","S",20.2125
1,3,"female",29,0,2,"Unknown","C",15.2458
1,1,"female",29.7,0,0,"Unknown","C",79.2
1,1,"female",35,0,0,"Unknown","C",512.3292
1,2,"female",50,0,1,"Unknown","S",26
0,3,"female",29.7,0,0,"Unknown","Q",7.75
1,2,"female",41,0,1,"Unknown","S",19.5
1,3,"female",29.7,0,0,"Unknown","Q",7.75
0,3,"female",45,0,0,"Unknown","S",7.75
1,3,"female",35,1,1,"Unknown","S",20.25
1,3,"female",22,0,0,"Unknown","Q",7.75
1,1,"female",26,0,0,"Unknown","S",78.85
0,3,"female",24,0,0,"Unknown","S",8.85
1,3,"female",29.7,0,0,"Unknown","Q",7.75
1,1,"female",29.7,0,0,"Unknown","C",110.8833
0,2,"female",26,1,1,"Unknown","S",26
1,3,"female",26,0,0,"Unknown","S",7.8542
1,2,"female",24,1,0,"Unknown","S",26
1,2,"female",30,0,0,"Unknown","Q",12.35
1,2,"female",22,1,1,"Unknown","S",29
1,3,"female",31,1,1,"Unknown","S",20.525
1,3,"female",29.7,2,0,"Unknown","Q",23.25
1,1,"female",29.7,1,0,"Unknown","S",133.65
1,2,"female",40,0,0,"Unknown","S",13
1,3,"female",29.7,1,0,"Unknown","S",16.1
0,2,"female",38,0,0,"Unknown","S",13
1,3,"female",29.7,0,0,"Unknown","Q",7.8792
1,3,"female",29.7,0,0,"Unknown","Q",7.8792
0,3,"female",45,0,1,"Unknown","C",14.4542
1,3,"female",29.7,0,0,"Unknown","C",7.2292
1,3,"female",29.7,0,0,"Unknown","Q",7.75
0,3,"female",3,3,1,"Unknown","S",21.075
1,1,"female",29.7,1,0,"Unknown","C",82.1708
1,3,"female",22,0,0,"Unknown","S",7.25
1,1,"female",42,0,0,"Unknown","C",227.525
1,3,"female",1,0,2,"Unknown","C",15.7417
1,1,"female",35,1,0,"Unknown","S",52
1,2,"female",36,0,0,"Unknown","S",13
1,2,"female",17,0,0,"Unknown","C",12
0,3,"female",31,0,0,"Unknown","S",7.8542
1,2,"female",28,0,0,"Unknown","S",12.65
0,3,"female",21,1,0,"Unknown","S",9.825
0,3,"female",20,0,0,"Unknown","S",8.6625
0,3,"female",29.7,3,1,"Unknown","S",25.4667
0,3,"female",29.7,0,0,"Unknown","S",8.05
1,2,"female",34,1,1,"Unknown","S",32.5
1,2,"female",18,0,2,"Unknown","S",13
0,3,"female",10,0,2,"Unknown","S",24.15
0,3,"female",28,1,1,"Unknown","S",14.4
1,2,"female",28,1,0,"Unknown","S",26
1,2,"female",19,0,0,"Unknown","S",26
1,3,"female",29.7,1,0,"Unknown","S",16.1
1,2,"female",42,1,0,"Unknown","S",26
0,3,"female",21,2,2,"Unknown","S",34.375
1,2,"female",24,2,3,"Unknown","S",18.75
1,2,"female",45,1,1,"Unknown","S",26.25
1,2,"female",28,0,0,"Unknown","S",13
1,2,"female",13,0,1,"Unknown","S",19.5
1,3,"female",5,2,1,"Unknown","C",19.2583
1,2,"female",50,0,0,"Unknown","S",10.5
1,3,"female",0.75,2,1,"Unknown","C",19.2583
1,2,"female",33,1,2,"Unknown","S",27.75
0,3,"female",22,0,0,"Unknown","S",9.8375
1,3,"female",2,0,1,"Unknown","S",12.2875
1,3,"female",63,0,0,"Unknown","S",9.5875
0,3,"female",29.7,3,1,"Unknown","S",25.4667
0,3,"female",21,0,0,"Unknown","Q",7.75
0,3,"female",29.7,0,0,"Unknown","Q",7.6292
0,3,"female",37,0,0,"Unknown","S",9.5875
1,2,"female",33,0,2,"Unknown","S",26
1,1,"female",54,1,0,"Unknown","C",59.4
1,2,"female",36,1,0,"Unknown","S",26
1,2,"female",50,0,0,"Unknown","S",10.5
1,2,"female",2,1,1,"Unknown","S",26
1,3,"female",29.7,0,2,"Unknown","C",22.3583
0,3,"female",30,0,0,"Unknown","S",8.6625
1,2,"female",7,0,2,"Unknown","S",26.25
1,1,"female",30,0,0,"Unknown","C",106.425
0,3,"female",9,4,2,"Unknown","S",31.275
0,3,"female",11,4,2,"Unknown","S",31.275
1,2,"female",19,1,0,"Unknown","S",26
1,3,"female",22,0,0,"Unknown","S",7.775
1,3,"female",36,1,0,"Unknown","S",17.4
0,3,"female",29.7,0,0,"Unknown","S",8.05
0,3,"female",29,0,4,"Unknown","S",21.075
1,3,"female",29.7,0,0,"Unknown","Q",7.75
1,2,"female",34,0,0,"Unknown","S",13
0,3,"female",29.7,1,0,"Unknown","C",14.4583
1,2,"female",25,1,1,"Unknown","S",30
0,3,"female",29.7,0,2,"Unknown","Q",7.75
1,2,"female",29.7,0,0,"Unknown","S",33
1,2,"female",24,2,1,"Unknown","S",27
1,2,"female",22,1,2,"Unknown","C",41.5792
0,3,"female",39,1,5,"Unknown","S",31.275
1,3,"female",29.7,1,0,"Unknown","Q",15.5
1,2,"female",24,1,2,"Unknown","S",65
0,3,"female",26,1,0,"Unknown","S",16.1
0,3,"female",9,3,2,"Unknown","S",27.9
1,2,"female",28,0,0,"Unknown","S",13
0,3,"female",41,0,5,"Unknown","S",39.6875
0,3,"female",2,3,2,"Unknown","S",27.9
1,3,"female",0.75,2,1,"Unknown","C",19.2583
1,3,"female",23,0,0,"Unknown","S",7.55
1,2,"female",18,0,1,"Unknown","S",23
1,3,"female",29.7,0,0,"Unknown","Q",7.8292
0,3,"female",18,0,0,"Unknown","Q",6.75
0,3,"female",32,1,1,"Unknown","Q",15.5
1,2,"female",40,1,1,"Unknown","S",39
1,3,"female",18,0,0,"Unknown","S",9.8417
0,3,"female",43,1,6,"Unknown","S",46.9
0,3,"female",29.7,0,0,"Unknown","Q",8.1375
1,3,"female",4,0,1,"Unknown","C",13.4167
1,3,"female",29.7,0,0,"Unknown","Q",7.7333
0,3,"female",18,0,1,"Unknown","C",14.4542
1,2,"female",45,0,0,"Unknown","S",13.5
1,1,"female",22,0,0,"Unknown","S",151.55
1,2,"female",6,0,1,"Unknown","S",33
1,2,"female",30,3,0,"Unknown","S",21
1,3,"female",29.7,0,0,"Unknown","Q",7.7375
0,3,"female",25,1,0,"Unknown","S",7.925
0,3,"female",48,1,3,"Unknown","S",34.375
1,2,"female",30,0,0,"Unknown","S",13
1,2,"female",4,1,1,"Unknown","S",23
1,2,"female",48,1,2,"Unknown","S",65
0,3,"female",30.5,0,0,"Unknown","Q",7.75
1,2,"female",54,1,3,"Unknown","S",23
1,3,"female",5,0,0,"Unknown","S",12.475
1,3,"female",13,0,0,"Unknown","C",7.2292
1,3,"female",18,0,0,"Unknown","S",7.4958
0,3,"female",29.7,8,2,"Unknown","S",69.55
1,3,"female",31,0,0,"Unknown","S",8.6833
0,3,"female",30,1,1,"Unknown","S",24.15
1,2,"female",31,1,1,"Unknown","S",26.25
0,3,"female",18,0,0,"Unknown","S",7.775
0,3,"female",6,4,2,"Unknown","S",31.275
0,3,"female",23,0,0,"Unknown","S",7.925
1,3,"female",15,1,0,"Unknown","C",14.4542
1,1,"female",30,0,0,"Unknown","C",31
0,3,"female",9,1,1,"Unknown","C",15.2458
0,2,"female",44,1,0,"Unknown","S",26
1,3,"female",18,0,1,"Unknown","S",9.35
1,1,"female",45,1,1,"Unknown","S",164.8667
1,3,"female",24,0,3,"Unknown","C",19.2583
0,3,"female",29.7,8,2,"Unknown","S",69.55
1,2,"female",42,0,0,"Unknown","S",13
1,2,"female",27,1,0,"Unknown","C",13.8583
1,2,"female",28,1,0,"Unknown","C",24
1,3,"female",15,0,0,"Unknown","C",7.225
1,2,"female",25,0,1,"Unknown","S",26
0,3,"female",22,0,0,"Unknown","S",10.5167
0,3,"female",39,0,5,"Unknown","Q",29.125
0,3,"female",29.7,1,2,"Unknown","S",23.45
0,1,"male",36,0,0,"A10","C",40.125
0,1,"male",29.7,0,0,"A14","S",52
0,1,"male",29.7,0,0,"A19","S",26
1,1,"male",49,1,0,"A20","C",56.9292
1,1,"male",80,0,0,"A23","S",30
0,1,"male",31,0,0,"A24","S",50.4958
1,1,"male",56,0,0,"A26","C",35.5
1,1,"male",40,0,0,"A31","C",31
0,1,"male",29.7,0,0,"A32","S",50
1,1,"male",4,0,2,"A34","S",81.8583
0,1,"male",39,0,0,"A36","S",0
0,1,"male",71,0,0,"A5","C",34.6542
1,1,"male",28,0,0,"A6","S",35.5
0,1,"male",56,0,0,"A7","C",30.6958
1,1,"male",35,0,0,"B101","C",512.3292
0,1,"male",29.7,0,0,"B102","S",0
0,1,"male",61,0,0,"B19","S",33.5
1,1,"male",31,1,0,"B20","S",57
0,1,"male",70,1,1,"B22","S",71
0,1,"male",65,0,1,"B30","C",61.9792
0,1,"male",58,0,0,"B37","C",29.7
0,1,"male",45,0,0,"B38","S",26.55
1,1,"male",60,1,1,"B41","C",79.2
1,1,"male",25,1,0,"B49","C",91.0792
1,1,"male",32,0,0,"B50","C",30.5
1,1,"male",36,0,1,"B51 B53 B55","C",512.3292
0,1,"male",33,0,0,"B51 B53 B55","S",5
0,1,"male",24,0,1,"B58 B60","C",247.5208
0,1,"male",31,1,0,"B71","S",52
0,1,"male",46,0,0,"B82 B84","C",79.2
0,1,"male",24,0,0,"B86","C",79.2
0,1,"male",40,0,0,"B94","S",0
1,1,"male",36,1,2,"B96 B98","S",120
1,1,"male",11,1,2,"B96 B98","S",120
1,1,"male",52,0,0,"C104","S",30.5
1,1,"male",29.7,0,0,"C106","S",30.5
0,1,"male",47,0,0,"C110","S",52
0,1,"male",30,0,0,"C111","C",27.75
0,1,"male",37,0,1,"C118","C",29.7
0,1,"male",37,1,0,"C123","S",53.1
0,1,"male",45.5,0,0,"C124","S",28.5
0,1,"male",29.7,0,0,"C124","S",26.55
1,1,"male",48,1,0,"C126","S",52
0,1,"male",29.7,0,0,"C128","S",35
1,1,"male",26,0,0,"C148","C",30
0,1,"male",29,1,0,"C2","S",66.6
1,1,"male",0.92,1,2,"C22 C26","S",151.55
0,1,"male",19,3,2,"C23 C25 C27","S",263
0,1,"male",64,1,4,"C23 C25 C27","S",263
0,1,"male",55,0,0,"C30","S",30.5
0,1,"male",36,1,0,"C46","S",78.85
1,1,"male",29.7,0,0,"C47","C",29.7
1,1,"male",29.7,0,0,"C52","S",35.5
1,1,"male",28,0,0,"C52","S",26.55
0,1,"male",18,1,0,"C65","C",108.9
0,1,"male",49,1,1,"C68","C",110.8833
1,1,"male",17,0,2,"C70","C",110.8833
0,1,"male",44,2,0,"C78","Q",90
0,1,"male",27,0,2,"C82","C",211.5
0,1,"male",45,1,0,"C83","S",83.475
0,1,"male",50,1,0,"C86","C",106.425
0,1,"male",62,0,0,"C87","S",26.55
0,1,"male",38,0,1,"C91","S",153.4625
1,1,"male",49,1,0,"C92","C",89.1042
1,1,"male",38,1,0,"C93","S",90
0,1,"male",29.7,0,0,"C95","S",221.7792
0,2,"male",36,0,0,"D","C",12.875
1,1,"male",23,0,1,"D10 D12","C",63.3583
1,1,"male",42,1,0,"D19","S",52.5542
0,1,"male",21,0,1,"D26","S",77.2875
0,1,"male",54,0,1,"D26","S",77.2875
0,1,"male",19,1,0,"D30","S",53.1
1,1,"male",48,1,0,"D33","C",76.7292
1,1,"male",37,1,1,"D35","S",52.5542
1,1,"male",29.7,0,0,"D45","S",30
0,1,"male",47,0,0,"D46","S",34.0208
0,1,"male",58,0,2,"D48","C",113.275
1,1,"male",27,0,0,"D49","C",76.7292
0,1,"male",61,0,0,"D50","S",32.3208
1,2,"male",34,0,0,"D56","S",13
0,1,"male",29,0,0,"D6","S",30
1,3,"male",32,0,0,"E10","S",8.05
1,1,"male",48,0,0,"E12","S",26.55
1,3,"male",6,0,1,"E121","S",12.475
1,1,"male",51,0,0,"E17","S",26.55
1,1,"male",35,0,0,"E24","S",26.2875
1,1,"male",42,0,0,"E24","S",26.2875
1,1,"male",36,0,0,"E25","S",26.2875
1,1,"male",36,0,0,"E25","S",26.3875
0,1,"male",46,1,0,"E31","S",61.175
0,1,"male",65,0,0,"E38","S",26.55
0,1,"male",50,1,0,"E44","S",55.9
0,1,"male",54,0,0,"E46","S",51.8625
1,1,"male",25,1,0,"E50","C",55.4417
0,1,"male",47,0,0,"E58","S",25.5875
0,1,"male",47,0,0,"E63","S",38.5
0,1,"male",52,1,1,"E67","S",79.65
1,1,"male",27,1,0,"E8","S",53.1
0,3,"male",42,0,0,"F G63","S",7.65
0,3,"male",25,0,0,"F G73","S",7.65
0,3,"male",19,0,0,"F G73","S",7.65
0,2,"male",36.5,0,2,"F2","S",26
1,2,"male",3,1,1,"F2","S",26
1,2,"male",2,1,1,"F2","S",26
0,3,"male",29.7,0,0,"F38","Q",7.75
1,2,"male",1,2,1,"F4","S",39
0,1,"male",45,0,0,"T","S",35.5
0,3,"male",22,1,0,"Unknown","S",7.25
0,3,"male",35,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","Q",8.4583
0,3,"male",2,3,1,"Unknown","S",21.075
0,3,"male",20,0,0,"Unknown","S",8.05
0,3,"male",39,1,5,"Unknown","S",31.275
0,3,"male",2,4,1,"Unknown","Q",29.125
1,2,"male",29.7,0,0,"Unknown","S",13
0,2,"male",35,0,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","C",7.225
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,1,"male",40,0,0,"Unknown","C",27.7208
0,2,"male",66,0,0,"Unknown","S",10.5
0,1,"male",28,1,0,"Unknown","C",82.1708
0,1,"male",42,1,0,"Unknown","S",52
1,3,"male",29.7,0,0,"Unknown","C",7.2292
0,3,"male",21,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","C",7.8958
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",29.7,1,0,"Unknown","Q",15.5
0,3,"male",29.7,2,0,"Unknown","C",21.6792
0,3,"male",7,4,1,"Unknown","S",39.6875
0,3,"male",21,0,0,"Unknown","S",7.8
0,3,"male",28.5,0,0,"Unknown","C",7.2292
0,3,"male",11,5,2,"Unknown","S",46.9
0,3,"male",22,0,0,"Unknown","C",7.2292
0,3,"male",4,3,2,"Unknown","S",27.9
0,1,"male",29.7,0,0,"Unknown","C",27.7208
1,3,"male",29.7,1,1,"Unknown","C",15.2458
0,3,"male",19,0,0,"Unknown","S",8.1583
0,3,"male",26,2,0,"Unknown","S",8.6625
0,2,"male",32,0,0,"Unknown","S",10.5
0,2,"male",21,0,0,"Unknown","S",73.5
0,3,"male",26,1,0,"Unknown","C",14.4542
1,3,"male",32,0,0,"Unknown","S",56.4958
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",29.7,0,0,"Unknown","S",8.05
1,2,"male",0.83,0,2,"Unknown","S",29
0,3,"male",22,0,0,"Unknown","S",9
1,3,"male",29,0,0,"Unknown","S",9.5
0,1,"male",28,0,0,"Unknown","S",47.1
0,3,"male",16,1,3,"Unknown","S",34.375
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,3,"male",24,0,0,"Unknown","S",8.05
0,3,"male",29,0,0,"Unknown","S",8.05
0,3,"male",20,0,0,"Unknown","S",7.8542
0,3,"male",26,1,2,"Unknown","S",20.575
0,3,"male",59,0,0,"Unknown","S",7.25
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,2,"male",34,1,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",33,0,0,"Unknown","S",8.6542
0,3,"male",37,2,0,"Unknown","S",7.925
0,3,"male",28,0,0,"Unknown","S",7.8958
1,3,"male",29.7,0,0,"Unknown","S",7.775
0,3,"male",38,0,0,"Unknown","S",7.8958
0,3,"male",22,0,0,"Unknown","S",8.05
0,3,"male",21,0,0,"Unknown","S",7.925
0,3,"male",70.5,0,0,"Unknown","Q",7.75
0,2,"male",29,1,0,"Unknown","S",21
0,2,"male",21,2,0,"Unknown","S",73.5
0,3,"male",29.7,0,0,"Unknown","S",8.05
0,2,"male",32.5,1,0,"Unknown","C",30.0708
1,3,"male",12,1,0,"Unknown","C",11.2417
0,3,"male",29.7,0,0,"Unknown","Q",7.75
1,3,"male",24,0,0,"Unknown","S",7.1417
0,3,"male",45,0,0,"Unknown","S",6.975
0,3,"male",33,0,0,"Unknown","C",7.8958
0,3,"male",20,0,0,"Unknown","S",7.05
0,2,"male",25,0,0,"Unknown","S",13
0,2,"male",23,0,0,"Unknown","C",15.0458
0,3,"male",16,0,0,"Unknown","S",9.2167
0,3,"male",19,0,0,"Unknown","Q",6.75
0,2,"male",18,0,0,"Unknown","S",11.5
0,2,"male",19,1,1,"Unknown","S",36.75
1,3,"male",27,0,0,"Unknown","S",7.7958
0,2,"male",42,0,0,"Unknown","S",13
0,2,"male",51,0,0,"Unknown","S",12.525
0,3,"male",55.5,0,0,"Unknown","S",8.05
0,3,"male",40.5,0,2,"Unknown","S",14.5
0,3,"male",29.7,0,0,"Unknown","S",7.3125
0,1,"male",51,0,1,"Unknown","C",61.3792
0,3,"male",30,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",8.6625
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",44,0,1,"Unknown","S",16.1
0,3,"male",26,0,0,"Unknown","S",7.775
0,3,"male",17,0,0,"Unknown","S",8.6625
0,3,"male",1,4,1,"Unknown","S",39.6875
1,3,"male",9,0,2,"Unknown","S",20.525
0,1,"male",29.7,0,0,"Unknown","S",25.925
0,3,"male",28,0,0,"Unknown","S",56.4958
0,3,"male",4,4,1,"Unknown","Q",29.125
0,3,"male",21,0,0,"Unknown","S",7.925
0,3,"male",18,1,1,"Unknown","S",7.8542
0,3,"male",29.7,3,1,"Unknown","S",25.4667
0,2,"male",30,0,0,"Unknown","S",13
0,3,"male",36,0,0,"Unknown","S",0
0,2,"male",29.7,0,0,"Unknown","C",15.05
0,3,"male",9,4,2,"Unknown","S",31.3875
1,1,"male",45,0,0,"Unknown","S",26.55
0,3,"male",40,1,1,"Unknown","Q",15.5
0,3,"male",36,0,0,"Unknown","S",7.8958
0,2,"male",19,0,0,"Unknown","S",13
0,3,"male",29.7,0,0,"Unknown","Q",7.75
0,3,"male",42,0,1,"Unknown","S",8.4042
0,3,"male",28,0,0,"Unknown","S",9.5
0,3,"male",29.7,8,2,"Unknown","S",69.55
0,3,"male",34,0,0,"Unknown","S",6.4958
0,3,"male",45.5,0,0,"Unknown","C",7.225
1,3,"male",18,0,0,"Unknown","S",8.05
0,3,"male",32,1,0,"Unknown","S",15.85
1,3,"male",26,0,0,"Unknown","C",18.7875
0,3,"male",24,0,0,"Unknown","S",7.05
0,3,"male",22,0,0,"Unknown","S",7.25
0,2,"male",30,0,0,"Unknown","S",13
0,3,"male",29.7,1,0,"Unknown","Q",7.75
0,2,"male",42,1,0,"Unknown","S",27
0,2,"male",30,0,0,"Unknown","S",10.5
1,3,"male",16,0,0,"Unknown","S",8.05
0,2,"male",27,0,0,"Unknown","S",13
0,3,"male",51,0,0,"Unknown","S",8.05
0,3,"male",29.7,0,0,"Unknown","S",7.8958
0,3,"male",22,0,0,"Unknown","S",9.35
1,2,"male",19,0,0,"Unknown","S",10.5
0,3,"male",20.5,0,0,"Unknown","S",7.25
0,2,"male",18,0,0,"Unknown","S",13
0,3,"male",29,0,0,"Unknown","S",7.775
0,2,"male",59,0,0,"Unknown","S",13.5
0,2,"male",24,0,0,"Unknown","S",10.5
0,2,"male",44,1,0,"Unknown","S",26
0,2,"male",19,0,0,"Unknown","S",10.5
0,2,"male",33,0,0,"Unknown","S",12.275
0,2,"male",29,0,0,"Unknown","S",10.5
0,3,"male",22,0,0,"Unknown","S",7.125
0,3,"male",30,0,0,"Unknown","C",7.225
0,2,"male",54,1,0,"Unknown","S",26
0,3,"male",29.7,0,0,"Unknown","S",7.25
0,3,"male",30,1,0,"Unknown","S",16.1
