survived;pclass;sex;age;sibsp;parch;embarked;fare_per_customer;embarked_remapped;cabin_remapped
0;3;1;40;1;0;2;4,74;2;0
0;2;1;27;1;0;2;10,5;2;0
1;2;1;3;1;2;1;10,39;1;0
1;3;1;19;0;0;3;7,88;3;0
1;3;1;29,7;0;0;3;7,75;3;0
0;3;1;18;1;0;2;8,9;2;0
1;2;1;29;1;0;2;13;2;0
1;2;1;21;0;0;2;10,5;2;0
1;2;1;5;1;2;2;6,94;2;0
1;3;1;17;4;2;2;1,13;2;0
0;3;1;16;5;2;2;5,86;2;0
1;3;1;30;0;0;2;12,48;2;0
1;3;1;29,7;0;0;3;7,79;3;0
1;2;1;17;0;0;2;10,5;2;0
1;3;1;33;3;0;2;3,96;2;0
1;2;1;34;0;1;2;11,5;2;0
0;3;1;28;0;0;2;7,9;2;0
1;3;1;21;0;0;2;7,65;2;0
1;3;1;29,7;1;0;3;12,08;3;0
0;3;1;14,5;1;0;1;7,23;1;0
0;3;1;20;1;0;2;4,91;2;0
0;3;1;17;0;0;1;14,46;1;0
0;3;1;2;4;2;2;4,47;2;0
0;3;1;47;1;0;2;7,25;2;0
1;2;1;29;1;0;2;13;2;0
0;3;1;29,7;0;2;1;5,08;1;0
1;3;1;22;0;0;2;7,75;2;0
1;3;1;24;1;0;2;7,93;2;0
0;3;1;9;2;2;2;6,88;2;0
1;3;1;16;0;0;3;7,73;3;0
1;2;1;40;0;0;2;15,75;2;0
0;3;1;45;1;4;2;4,65;2;0
1;3;1;1;1;1;2;3,71;2;0
0;3;1;29,7;8;2;2;6,32;2;0
1;3;1;4;0;2;2;7,34;2;0
1;3;1;29,7;1;0;3;7,75;3;0
1;2;1;32;0;0;2;13;2;0
1;3;1;19;1;0;2;3,93;2;0
1;3;1;29,7;0;0;3;7,75;3;0
0;2;1;24;0;0;2;13;2;0
1;3;1;16;0;0;3;7,75;3;0
1;2;1;35;0;0;2;21;2;0
1;3;1;27;0;0;2;7,93;2;0
0;3;1;29,7;3;1;2;5,09;2;0
1;3;1;5;4;2;2;4,48;2;0
0;3;1;29,7;0;0;2;7,55;2;0
1;2;1;8;0;2;2;8,75;2;0
0;3;1;29,7;1;0;1;7,23;1;0
1;3;1;29,7;1;0;3;7,75;3;0
0;3;1;25;0;0;2;7,78;2;0
1;2;1;24;0;2;2;4,83;2;0
0;3;1;41;0;2;2;6,74;2;0
1;3;1;29;0;2;1;5,08;1;0
1;1;1;29,7;0;0;1;79,2;1;0
1;1;1;35;0;0;1;512,33;1;0
1;2;1;50;0;1;2;13;2;0
0;3;1;29,7;0;0;3;7,75;3;0
1;2;1;41;0;1;2;9,75;2;0
1;3;1;29,7;0;0;3;7,75;3;0
0;3;1;45;0;0;2;7,75;2;0
1;3;1;35;1;1;2;6,75;2;0
1;3;1;22;0;0;3;7,75;3;0
1;1;1;26;0;0;2;78,85;2;0
0;3;1;24;0;0;2;8,85;2;0
1;3;1;29,7;0;0;3;7,75;3;0
1;1;1;29,7;0;0;1;110,88;1;0
0;2;1;26;1;1;2;8,67;2;0
1;3;1;26;0;0;2;7,85;2;0
1;2;1;24;1;0;2;13;2;0
1;2;1;30;0;0;3;12,35;3;0
1;2;1;22;1;1;2;9,67;2;0
1;3;1;31;1;1;2;6,84;2;0
1;3;1;29,7;2;0;3;7,75;3;0
1;1;1;29,7;1;0;2;66,83;2;0
1;2;1;40;0;0;2;13;2;0
1;3;1;29,7;1;0;2;8,05;2;0
0;2;1;38;0;0;2;13;2;0
1;3;1;29,7;0;0;3;7,88;3;0
1;3;1;29,7;0;0;3;7,88;3;0
0;3;1;45;0;1;1;7,23;1;0
1;3;1;29,7;0;0;1;7,23;1;0
1;3;1;29,7;0;0;3;7,75;3;0
0;3;1;3;3;1;2;4,22;2;0
1;1;1;29,7;1;0;1;41,09;1;0
1;3;1;22;0;0;2;7,25;2;0
1;1;1;42;0;0;1;227,53;1;0
1;3;1;1;0;2;1;5,25;1;0
1;1;1;35;1;0;2;26;2;0
1;2;1;36;0;0;2;13;2;0
1;2;1;17;0;0;1;12;1;0
0;3;1;31;0;0;2;7,85;2;0
1;2;1;28;0;0;2;12,65;2;0
0;3;1;21;1;0;2;4,91;2;0
0;3;1;20;0;0;2;8,66;2;0
0;3;1;29,7;3;1;2;5,09;2;0
0;3;1;29,7;0;0;2;8,05;2;0
1;2;1;34;1;1;2;10,83;2;0
1;2;1;18;0;2;2;4,33;2;0
0;3;1;10;0;2;2;8,05;2;0
0;3;1;28;1;1;2;4,8;2;0
1;2;1;28;1;0;2;13;2;0
1;2;1;19;0;0;2;26;2;0
1;3;1;29,7;1;0;2;8,05;2;0
1;2;1;42;1;0;2;13;2;0
0;3;1;21;2;2;2;6,88;2;0
1;2;1;24;2;3;2;3,13;2;0
1;2;1;45;1;1;2;8,75;2;0
1;2;1;28;0;0;2;13;2;0
1;2;1;13;0;1;2;9,75;2;0
1;3;1;5;2;1;1;4,81;1;0
1;2;1;50;0;0;2;10,5;2;0
1;3;1;0,75;2;1;1;4,81;1;0
1;2;1;33;1;2;2;6,94;2;0
0;3;1;22;0;0;2;9,84;2;0
1;3;1;2;0;1;2;6,14;2;0
1;3;1;63;0;0;2;9,59;2;0
0;3;1;29,7;3;1;2;5,09;2;0
0;3;1;21;0;0;3;7,75;3;0
0;3;1;29,7;0;0;3;7,63;3;0
0;3;1;37;0;0;2;9,59;2;0
1;2;1;33;0;2;2;8,67;2;0
1;1;1;54;1;0;1;29,7;1;0
1;2;1;36;1;0;2;13;2;0
1;2;1;50;0;0;2;10,5;2;0
1;2;1;2;1;1;2;8,67;2;0
1;3;1;29,7;0;2;1;7,45;1;0
0;3;1;30;0;0;2;8,66;2;0
1;2;1;7;0;2;2;8,75;2;0
1;1;1;30;0;0;1;106,43;1;0
0;3;1;9;4;2;2;4,47;2;0
0;3;1;11;4;2;2;4,47;2;0
1;2;1;19;1;0;2;13;2;0
1;3;1;22;0;0;2;7,78;2;0
1;3;1;36;1;0;2;8,7;2;0
0;3;1;29,7;0;0;2;8,05;2;0
0;3;1;29;0;4;2;4,22;2;0
1;3;1;29,7;0;0;3;7,75;3;0
1;2;1;34;0;0;2;13;2;0
0;3;1;29,7;1;0;1;7,23;1;0
1;2;1;25;1;1;2;10;2;0
0;3;1;29,7;0;2;3;2,58;3;0
1;2;1;29,7;0;0;2;33;2;0
1;2;1;24;2;1;2;6,75;2;0
1;2;1;22;1;2;1;10,39;1;0
0;3;1;39;1;5;2;4,47;2;0
1;3;1;29,7;1;0;3;7,75;3;0
1;2;1;24;1;2;2;16,25;2;0
0;3;1;26;1;0;2;8,05;2;0
0;3;1;9;3;2;2;4,65;2;0
1;2;1;28;0;0;2;13;2;0
0;3;1;41;0;5;2;6,61;2;0
0;3;1;2;3;2;2;4,65;2;0
1;3;1;0,75;2;1;1;4,81;1;0
1;3;1;23;0;0;2;7,55;2;0
1;2;1;18;0;1;2;11,5;2;0
1;3;1;29,7;0;0;3;7,83;3;0
0;3;1;18;0;0;3;6,75;3;0
0;3;1;32;1;1;3;5,17;3;0
1;2;1;40;1;1;2;13;2;0
1;3;1;18;0;0;2;9,84;2;0
0;3;1;43;1;6;2;5,86;2;0
0;3;1;29,7;0;0;3;8,14;3;0
1;3;1;4;0;1;1;6,71;1;0
1;3;1;29,7;0;0;3;7,73;3;0
0;3;1;18;0;1;1;7,23;1;0
1;2;1;45;0;0;2;13,5;2;0
1;1;1;22;0;0;2;151,55;2;0
1;2;1;6;0;1;2;16,5;2;0
1;2;1;30;3;0;2;5,25;2;0
1;3;1;29,7;0;0;3;7,74;3;0
0;3;1;25;1;0;2;3,96;2;0
0;3;1;48;1;3;2;6,88;2;0
1;2;1;30;0;0;2;13;2;0
1;2;1;4;1;1;2;7,67;2;0
1;2;1;48;1;2;2;16,25;2;0
0;3;1;30,5;0;0;3;7,75;3;0
1;2;1;54;1;3;2;4,6;2;0
1;3;1;5;0;0;2;12,48;2;0
1;3;1;13;0;0;1;7,23;1;0
1;3;1;18;0;0;2;7,5;2;0
0;3;1;29,7;8;2;2;6,32;2;0
1;3;1;31;0;0;2;8,68;2;0
0;3;1;30;1;1;2;8,05;2;0
1;2;1;31;1;1;2;8,75;2;0
0;3;1;18;0;0;2;7,78;2;0
0;3;1;6;4;2;2;4,47;2;0
0;3;1;23;0;0;2;7,93;2;0
1;3;1;15;1;0;1;7,23;1;0
1;1;1;30;0;0;1;31;1;0
0;3;1;9;1;1;1;5,08;1;0
0;2;1;44;1;0;2;13;2;0
1;3;1;18;0;1;2;4,68;2;0
1;1;1;45;1;1;2;54,96;2;0
1;3;1;24;0;3;1;4,81;1;0
0;3;1;29,7;8;2;2;6,32;2;0
1;2;1;42;0;0;2;13;2;0
1;2;1;27;1;0;1;6,93;1;0
1;2;1;28;1;0;1;12;1;0
1;3;1;15;0;0;1;7,23;1;0
1;2;1;25;0;1;2;13;2;0
0;3;1;22;0;0;2;10,52;2;0
0;3;1;39;0;5;3;4,85;3;0
0;3;1;29,7;1;2;2;5,86;2;0
0;3;0;22;1;0;2;3,63;2;0
0;3;0;35;0;0;2;8,05;2;0
0;3;0;29,7;0;0;3;8,46;3;0
0;3;0;2;3;1;2;4,22;2;0
0;3;0;20;0;0;2;8,05;2;0
0;3;0;39;1;5;2;4,47;2;0
0;3;0;2;4;1;3;4,85;3;0
1;2;0;29,7;0;0;2;13;2;0
0;2;0;35;0;0;2;26;2;0
0;3;0;29,7;0;0;1;7,23;1;0
0;3;0;29,7;0;0;2;7,9;2;0
0;1;0;40;0;0;1;27,72;1;0
0;2;0;66;0;0;2;10,5;2;0
0;1;0;28;1;0;1;41,09;1;0
0;1;0;42;1;0;2;26;2;0
1;3;0;29,7;0;0;1;7,23;1;0
0;3;0;21;0;0;2;8,05;2;0
0;3;0;29,7;0;0;1;7,9;1;0
0;3;0;29,7;0;0;2;8,05;2;0
0;3;0;29,7;1;0;3;7,75;3;0
0;3;0;29,7;2;0;1;7,23;1;0
0;3;0;7;4;1;2;6,61;2;0
0;3;0;21;0;0;2;7,8;2;0
0;3;0;28,5;0;0;1;7,23;1;0
0;3;0;11;5;2;2;5,86;2;0
0;3;0;22;0;0;1;7,23;1;0
0;3;0;4;3;2;2;4,65;2;0
0;1;0;29,7;0;0;1;27,72;1;0
1;3;0;29,7;1;1;1;5,08;1;0
0;3;0;19;0;0;2;8,16;2;0
0;3;0;26;2;0;2;2,89;2;0
0;2;0;32;0;0;2;10,5;2;0
0;2;0;21;0;0;2;73,5;2;0
0;3;0;26;1;0;1;7,23;1;0
1;3;0;32;0;0;2;56,5;2;0
0;3;0;29,7;0;0;2;7,9;2;0
0;3;0;29,7;0;0;2;8,05;2;0
1;2;0;0,83;0;2;2;9,67;2;0
0;3;0;22;0;0;2;9;2;0
1;3;0;29;0;0;2;9,5;2;0
0;1;0;28;0;0;2;47,1;2;0
0;3;0;16;1;3;2;6,88;2;0
0;3;0;29,7;0;0;2;8,05;2;0
0;3;0;24;0;0;2;8,05;2;0
0;3;0;29;0;0;2;8,05;2;0
0;3;0;20;0;0;2;7,85;2;0
0;3;0;26;1;2;2;5,14;2;0
0;3;0;59;0;0;2;7,25;2;0
0;3;0;29,7;0;0;2;8,05;2;0
0;2;0;34;1;0;2;13;2;0
0;3;0;29,7;0;0;2;7,9;2;0
0;3;0;33;0;0;2;8,65;2;0
0;3;0;37;2;0;2;2,64;2;0
0;3;0;28;0;0;2;7,9;2;0
1;3;0;29,7;0;0;2;7,78;2;0
0;3;0;38;0;0;2;7,9;2;0
0;3;0;22;0;0;2;8,05;2;0
0;3;0;21;0;0;2;7,93;2;0
0;3;0;70,5;0;0;3;7,75;3;0
0;2;0;29;1;0;2;10,5;2;0
0;2;0;21;2;0;2;24,5;2;0
0;3;0;29,7;0;0;2;8,05;2;0
0;2;0;32,5;1;0;1;15,04;1;0
1;3;0;12;1;0;1;5,62;1;0
0;3;0;29,7;0;0;3;7,75;3;0
1;3;0;24;0;0;2;7,14;2;0
0;3;0;45;0;0;2;6,98;2;0
0;3;0;33;0;0;1;7,9;1;0
0;3;0;20;0;0;2;7,05;2;0
0;2;0;25;0;0;2;13;2;0
0;2;0;23;0;0;1;15,05;1;0
0;3;0;16;0;0;2;9,22;2;0
0;3;0;19;0;0;3;6,75;3;0
0;2;0;18;0;0;2;11,5;2;0
0;2;0;19;1;1;2;12,25;2;0
1;3;0;27;0;0;2;7,8;2;0
0;2;0;42;0;0;2;13;2;0
0;2;0;51;0;0;2;12,53;2;0
0;3;0;55,5;0;0;2;8,05;2;0
0;3;0;40,5;0;2;2;4,83;2;0
0;3;0;29,7;0;0;2;7,31;2;0
0;1;0;51;0;1;1;30,69;1;0
0;3;0;30;0;0;2;8,05;2;0
0;3;0;29,7;0;0;2;8,66;2;0
0;3;0;29,7;8;2;2;6,32;2;0
0;3;0;44;0;1;2;8,05;2;0
0;3;0;26;0;0;2;7,78;2;0
0;3;0;17;0;0;2;8,66;2;0
0;3;0;1;4;1;2;6,61;2;0
1;3;0;9;0;2;2;6,84;2;0
0;1;0;29,7;0;0;2;25,93;2;0
0;3;0;28;0;0;2;56,5;2;0
0;3;0;4;4;1;3;4,85;3;0
0;3;0;21;0;0;2;7,93;2;0
0;3;0;18;1;1;2;2,62;2;0
0;3;0;29,7;3;1;2;5,09;2;0
0;2;0;30;0;0;2;13;2;0
0;3;0;36;0;0;2;0;2;0
0;2;0;29,7;0;0;1;15,05;1;0
0;3;0;9;4;2;2;4,48;2;0
1;1;0;45;0;0;2;26,55;2;0
0;3;0;40;1;1;3;5,17;3;0
0;3;0;36;0;0;2;7,9;2;0
0;2;0;19;0;0;2;13;2;0
0;3;0;29,7;0;0;3;7,75;3;0
0;3;0;42;0;1;2;4,2;2;0
0;3;0;28;0;0;2;9,5;2;0
0;3;0;29,7;8;2;2;6,32;2;0
0;3;0;34;0;0;2;6,5;2;0
0;3;0;45,5;0;0;1;7,23;1;0
1;3;0;18;0;0;2;8,05;2;0
0;3;0;32;1;0;2;7,93;2;0
1;3;0;26;0;0;1;18,79;1;0
0;3;0;24;0;0;2;7,05;2;0
0;3;0;22;0;0;2;7,25;2;0
0;2;0;30;0;0;2;13;2;0
0;3;0;29,7;1;0;3;3,88;3;0
0;2;0;42;1;0;2;13,5;2;0
0;2;0;30;0;0;2;10,5;2;0
1;3;0;16;0;0;2;8,05;2;0
0;2;0;27;0;0;2;13;2;0
0;3;0;51;0;0;2;8,05;2;0
0;3;0;29,7;0;0;2;7,9;2;0
0;3;0;22;0;0;2;9,35;2;0
1;2;0;19;0;0;2;10,5;2;0
0;3;0;20,5;0;0;2;7,25;2;0
0;2;0;18;0;0;2;13;2;0
0;3;0;29;0;0;2;7,78;2;0
0;2;0;59;0;0;2;13,5;2;0
0;2;0;24;0;0;2;10,5;2;0
0;2;0;44;1;0;2;13;2;0
0;2;0;19;0;0;2;10,5;2;0
0;2;0;33;0;0;2;12,28;2;0
0;2;0;29;0;0;2;10,5;2;0
0;3;0;22;0;0;2;7,13;2;0
0;3;0;30;0;0;1;7,23;1;0
0;2;0;54;1;0;2;13;2;0
0;3;0;29,7;0;0;2;7,25;2;0
0;3;0;30;1;0;2;8,05;2;0
0;3;0;29,7;0;0;3;7,75;3;0
1;3;0;3;4;2;2;4,48;2;0
0;2;0;36;0;0;2;10,5;2;0
0;3;0;16;4;1;2;6,61;2;0
1;3;0;25;1;0;2;3,89;2;0
0;1;0;29,7;0;0;2;31;2;0
1;3;0;25;0;0;2;0;2;0
0;2;0;29,7;0;0;2;0;2;0
0;3;0;7;4;1;3;4,85;3;0
0;3;0;65;0;0;3;7,75;3;0
0;3;0;28;0;0;2;7,85;2;0
0;3;0;16;0;0;2;9,5;2;0
1;3;0;19;0;0;2;8,05;2;0
0;3;0;33;0;0;1;8,66;1;0
1;3;0;30;0;0;2;9,5;2;0
0;3;0;22;0;0;2;7,9;2;0
1;2;0;42;0;0;2;13;2;0
0;3;0;24;0;0;2;7,9;2;0
0;1;0;29,7;0;0;1;27,72;1;0
0;3;0;23,5;0;0;1;7,23;1;0
1;3;0;29,7;2;0;3;7,75;3;0
0;3;0;19;0;0;2;0;2;0
0;3;0;29,7;0;0;2;8,05;2;0
0;2;0;30;1;0;1;12;1;0
0;3;0;28;0;0;2;7,9;2;0
0;2;0;43;1;1;2;8,75;2;0
0;2;0;54;0;0;2;14;2;0
0;3;0;22;0;0;2;7,25;2;0
0;3;0;27;0;0;2;7,9;2;0
0;3;0;29,7;8;2;2;6,32;2;0
0;3;0;61;0;0;2;6,24;2;0
0;3;0;16;2;0;2;6;2;0
0;3;0;29,7;0;0;2;7,9;2;0
1;3;0;45;0;0;2;8,05;2;0
0;2;0;28;0;0;2;13;2;0
0;2;0;25;0;0;2;13;2;0
0;2;0;36;0;0;2;13;2;0
1;3;0;3;1;1;2;5,3;2;0
0;3;0;42;0;0;2;8,66;2;0
0;3;0;23;0;0;2;9,23;2;0
0;3;0;15;1;1;1;2,41;1;0
0;3;0;25;1;0;2;8,9;2;0
0;3;0;29,7;0;0;1;7,23;1;0
0;3;0;28;0;0;2;9,5;2;0
0;3;0;40;1;4;2;4,65;2;0
0;2;0;29;1;0;1;13,86;1;0
0;3;0;35;0;0;2;7,05;2;0
0;3;0;29,7;1;0;3;7,75;3;0
0;3;0;30;0;0;2;7,25;2;0
0;3;0;18;1;0;2;3,25;2;0
0;3;0;19;0;0;2;8,05;2;0
0;1;0;22;0;0;1;135,63;1;0
0;3;0;20;0;0;1;4,01;1;0
0;3;0;19;0;0;2;7,78;2;0
0;3;0;32;0;0;2;7,93;2;0
0;3;0;29,7;0;0;2;7,9;2;0
0;2;0;18;0;0;2;73,5;2;0
0;3;0;1;5;2;2;5,86;2;0
0;3;0;29,7;0;0;3;7,73;3;0
1;3;0;21;0;0;2;7,8;2;0
0;3;0;28;2;0;2;2,64;2;0
0;3;0;22;0;0;2;7,8;2;0
0;2;0;46;0;0;2;26;2;0
0;2;0;23;0;0;2;10,5;2;0
1;3;0;39;0;0;2;7,93;2;0
0;3;0;26;0;0;2;8,05;2;0
0;3;0;28;1;0;2;7,93;2;0
0;2;0;34;1;0;2;10,5;2;0
0;3;0;51;0;0;2;7,75;2;0
1;2;0;3;1;1;2;6,25;2;0
0;3;0;21;0;0;2;7,78;2;0
0;3;0;29,7;0;0;2;7,9;2;0
0;3;0;29,7;0;0;3;6,86;3;0
0;2;0;29,7;0;0;2;0;2;0
1;3;0;44;0;0;2;7,93;2;0
0;2;0;30;0;0;2;13;2;0
0;3;0;29,7;0;0;1;7,9;1;0
0;3;0;21;0;0;3;7,73;3;0
0;3;0;29;0;0;2;7,88;2;0
0;3;0;18;1;1;2;6,74;2;0
0;3;0;29,7;0;0;2;7,25;2;0
0;3;0;29,7;0;0;3;7,75;3;0
0;3;0;17;0;0;2;7,13;2;0
0;2;0;31;0;0;2;10,5;2;0
0;3;0;20;0;0;2;9,5;2;0
0;3;0;25;1;0;2;3,89;2;0
1;3;0;29,7;0;0;2;8,11;2;0
1;1;0;34;0;0;2;26,55;2;0
0;2;0;36;1;2;2;6,94;2;0
0;3;0;29,7;1;0;2;9,98;2;0
0;3;0;29,7;0;0;2;8,05;2;0
1;3;0;29;0;0;1;7,9;1;0
